Date,Open,High,Low,Close,Adj Close
2020-11-11,117.19,119.63,116.44,119.49,119.49
2020-11-12,119.62,120.53,118.57,119.21,119.21
2020-11-13,119.44,119.67,117.87,119.26,119.26
2020-11-16,118.92,120.99,118.15,120.3,120.3
2020-11-17,119.55,120.67,118.96,119.39,119.39
2020-11-18,118.61,119.82,118.0,118.03,118.03
2020-11-19,117.59,119.06,116.81,118.64,118.64
2020-11-20,118.64,118.77,117.29,117.34,117.34
2020-11-23,117.18,117.62,113.75,113.85,113.85
2020-11-24,113.91,115.85,112.59,115.17,115.17
2020-11-25,115.55,116.75,115.17,116.03,116.03
2020-11-27,116.57,117.49,116.22,116.59,116.59
2020-11-30,116.97,120.97,116.81,119.05,119.05
2020-12-01,121.01,123.47,120.01,122.72,122.72
2020-12-02,122.02,123.37,120.89,123.08,123.08
2020-12-03,123.52,123.78,122.21,122.94,122.94
2020-12-04,122.6,122.86,121.52,122.25,122.25
2020-12-07,122.31,124.57,122.25,123.75,123.75
2020-12-08,124.37,124.98,123.09,124.38,124.38
2020-12-09,124.53,125.95,121.0,121.78,121.78
2020-12-10,120.5,123.87,120.15,123.24,123.24
2020-12-11,122.43,122.76,120.55,122.41,122.41
2020-12-14,122.6,123.35,121.54,121.78,121.78
2020-12-15,124.34,127.9,124.13,127.88,127.88
2020-12-16,127.41,128.37,126.56,127.81,127.81
2020-12-17,128.9,129.58,128.04,128.7,128.7
2020-12-18,128.96,129.1,126.12,126.66,126.66
2020-12-21,125.02,128.31,123.45,128.23,128.23
2020-12-22,131.61,134.41,129.65,131.88,131.88
2020-12-23,132.16,132.43,130.78,130.96,130.96
2020-12-24,131.32,133.46,131.1,131.97,131.97
2020-12-28,133.99,137.34,133.51,136.69,136.69
2020-12-29,138.05,138.79,134.34,134.87,134.87
2020-12-30,135.58,135.99,133.4,133.72,133.72
2020-12-31,134.08,134.74,131.72,132.69,132.69
2021-01-04,133.52,133.61,126.76,129.41,129.41
2021-01-05,128.89,131.74,128.43,131.01,131.01
2021-01-06,127.72,131.05,126.38,126.6,126.6
2021-01-07,128.36,131.63,127.86,130.92,130.92
2021-01-08,132.43,132.63,130.23,132.05,132.05
2021-01-11,129.19,130.17,128.5,128.98,128.98
2021-01-12,128.5,129.69,126.86,128.8,128.8
2021-01-13,128.76,131.45,128.49,130.89,130.89
2021-01-14,130.8,131.0,128.76,128.91,128.91
2021-01-15,128.78,130.22,127.0,127.14,127.14
2021-01-19,127.78,128.71,126.94,127.83,127.83
2021-01-20,128.66,132.49,128.55,132.03,132.03
2021-01-21,133.8,139.67,133.59,136.87,136.87
2021-01-22,136.28,139.85,135.02,139.07,139.07
2021-01-25,143.07,145.09,136.54,142.92,142.92
2021-01-26,143.6,144.3,141.37,143.16,143.16
2021-01-27,143.43,144.3,140.41,142.06,142.06
2021-01-28,139.52,141.99,136.7,137.09,137.09
2021-01-29,135.83,136.74,130.21,131.96,131.96
2021-02-01,133.75,135.38,130.93,134.14,134.14
2021-02-02,135.73,136.31,134.61,134.99,134.99
2021-02-03,135.76,135.77,133.61,133.94,133.94
2021-02-04,136.3,137.4,134.59,137.39,137.39
2021-02-05,137.35,137.42,135.86,136.76,136.76
2021-02-08,136.03,136.96,134.92,136.91,136.91
2021-02-09,136.62,137.88,135.85,136.01,136.01
2021-02-10,136.48,136.99,134.4,135.39,135.39
2021-02-11,135.9,136.39,133.77,135.13,135.13
2021-02-12,134.35,135.53,133.69,135.37,135.37
2021-02-16,135.49,136.01,132.79,133.19,133.19
2021-02-17,131.25,132.22,129.47,130.84,130.84
2021-02-18,129.2,130.0,127.41,129.71,129.71
2021-02-19,130.24,130.71,128.8,129.87,129.87
2021-02-22,128.01,129.72,125.6,126.0,126.0
2021-02-23,123.76,126.71,118.39,125.86,125.86
2021-02-24,124.94,125.56,122.23,125.35,125.35
2021-02-25,124.68,126.46,120.54,120.99,120.99
2021-02-26,122.59,124.85,121.2,121.26,121.26
2021-03-01,123.75,127.93,122.79,127.79,127.79
2021-03-02,128.41,128.72,125.01,125.12,125.12
2021-03-03,124.81,125.71,121.84,122.06,122.06
2021-03-04,121.75,123.6,118.62,120.13,120.13
2021-03-05,120.98,121.94,117.57,121.42,121.42
2021-03-08,120.93,121.0,116.21,116.36,116.36
2021-03-09,119.03,122.06,118.79,121.08,121.08
2021-03-10,121.69,122.17,119.45,119.98,119.98
2021-03-11,122.54,123.21,121.26,121.96,121.96
2021-03-12,120.4,121.17,119.16,121.03,121.03
2021-03-15,121.41,124.0,120.42,123.99,123.99
2021-03-16,125.7,127.22,124.72,125.57,125.57
2021-03-17,124.05,125.86,122.34,124.76,124.76
2021-03-18,122.88,123.18,120.32,120.53,120.53
2021-03-19,119.9,121.43,119.67,119.99,119.99
2021-03-22,120.33,123.87,120.26,123.39,123.39
2021-03-23,123.33,124.24,122.14,122.54,122.54
2021-03-24,122.82,122.9,120.06,120.09,120.09
2021-03-25,119.54,121.66,119.0,120.59,120.59
2021-03-26,120.35,121.48,118.92,121.21,121.21
2021-03-29,121.65,122.58,120.73,121.39,121.39
2021-03-30,120.11,120.4,118.86,119.9,119.9
2021-03-31,121.65,123.52,121.15,122.15,122.15
2021-04-01,123.66,124.18,122.49,123.0,123.0
2021-04-05,123.87,126.16,123.07,125.9,125.9
2021-04-06,126.5,127.13,125.65,126.21,126.21
2021-04-07,125.83,127.92,125.14,127.9,127.9
2021-04-08,128.95,130.39,128.52,130.36,130.36
2021-04-09,129.8,133.04,129.47,133.0,133.0
2021-04-12,132.52,132.85,130.63,131.24,131.24
2021-04-13,132.44,134.66,131.93,134.43,134.43
2021-04-14,134.94,135.0,131.66,132.03,132.03
2021-04-15,133.82,135.0,133.64,134.5,134.5
2021-04-16,134.3,134.67,133.28,134.16,134.16
2021-04-19,133.51,135.47,133.34,134.84,134.84
2021-04-20,135.02,135.53,131.81,133.11,133.11
2021-04-21,132.36,133.75,131.3,133.5,133.5
2021-04-22,133.04,134.15,131.41,131.94,131.94
2021-04-23,132.16,135.12,132.16,134.32,134.32
2021-04-26,134.83,135.06,133.56,134.72,134.72
2021-04-27,135.01,135.41,134.11,134.39,134.39
2021-04-28,134.31,135.02,133.08,133.58,133.58
2021-04-29,136.47,137.07,132.45,133.48,133.48
2021-04-30,131.78,133.56,131.06,131.46,131.46
2021-05-03,132.04,134.07,131.83,132.54,132.54
2021-05-04,131.19,131.49,126.7,127.85,127.85
2021-05-05,129.2,130.45,127.97,128.1,128.1
2021-05-06,127.89,129.75,127.13,129.74,129.74
2021-05-07,130.85,131.26,129.47,130.21,130.21
2021-05-10,129.41,129.54,126.81,126.85,126.85
2021-05-11,123.5,126.27,122.77,125.91,125.91
2021-05-12,123.4,124.64,122.25,122.77,122.77
2021-05-13,124.58,126.15,124.26,124.97,124.97
2021-05-14,126.25,127.89,125.85,127.45,127.45
2021-05-17,126.82,126.93,125.17,126.27,126.27
2021-05-18,126.56,126.99,124.78,124.85,124.85
2021-05-19,123.16,124.92,122.86,124.69,124.69
2021-05-20,125.23,127.72,125.1,127.31,127.31
2021-05-21,127.82,128.0,125.21,125.43,125.43
2021-05-24,126.01,127.94,125.94,127.1,127.1
2021-05-25,127.82,128.32,126.32,126.9,126.9
2021-05-26,126.95,127.39,126.42,126.85,126.85
2021-05-27,126.44,127.64,125.08,125.28,125.28
2021-05-28,125.57,125.8,124.55,124.61,124.61
2021-06-01,125.08,125.35,123.94,124.28,124.28
2021-06-02,124.28,125.24,124.05,125.06,125.06
2021-06-03,124.68,124.85,123.13,123.54,123.54
2021-06-04,124.07,126.16,123.85,125.89,125.89
2021-06-07,126.17,126.32,124.83,125.9,125.9
2021-06-08,126.6,128.46,126.21,126.74,126.74
2021-06-09,127.21,127.75,126.52,127.13,127.13
2021-06-10,127.02,128.19,125.94,126.11,126.11
2021-06-11,126.53,127.44,126.1,127.35,127.35
2021-06-14,127.82,130.54,127.07,130.48,130.48
2021-06-15,129.94,130.6,129.39,129.64,129.64
2021-06-16,130.37,130.89,128.46,130.15,130.15
2021-06-17,129.8,132.55,129.65,131.79,131.79
2021-06-18,130.71,131.51,130.24,130.46,130.46
2021-06-21,130.3,132.41,129.21,132.3,132.3
2021-06-22,132.13,134.08,131.62,133.98,133.98
2021-06-23,133.77,134.32,133.23,133.7,133.7
2021-06-24,134.45,134.64,132.93,133.41,133.41
2021-06-25,133.46,133.89,132.81,133.11,133.11
2021-06-28,133.41,135.25,133.35,134.78,134.78
2021-06-29,134.8,136.49,134.35,136.33,136.33
2021-06-30,136.17,137.41,135.87,136.96,136.96
2021-07-01,136.6,137.33,135.76,137.27,137.27
2021-07-02,137.9,140.0,137.75,139.96,139.96
2021-07-06,140.07,143.15,140.07,142.02,142.02
2021-07-07,143.53,144.89,142.66,144.57,144.57
2021-07-08,141.58,144.06,140.66,143.24,143.24
2021-07-09,142.75,145.65,142.65,145.11,145.11
2021-07-12,146.21,146.32,144.0,144.5,144.5
2021-07-13,144.03,147.46,143.63,145.64,145.64
2021-07-14,148.1,149.57,147.68,149.15,149.15
2021-07-15,149.24,150.0,147.09,148.48,148.48
2021-07-16,148.46,149.76,145.88,146.39,146.39
2021-07-19,143.75,144.07,141.67,142.45,142.45
2021-07-20,143.46,147.1,142.96,146.15,146.15
2021-07-21,145.53,146.13,144.63,145.4,145.4
2021-07-22,145.94,148.19,145.81,146.8,146.8
2021-07-23,147.55,148.72,146.92,148.56,148.56
2021-07-26,148.27,149.83,147.7,148.99,148.99
2021-07-27,149.12,149.21,145.55,146.77,146.77
2021-07-28,144.81,146.97,142.54,144.98,144.98
2021-07-29,144.69,146.55,144.58,145.64,145.64
2021-07-30,144.38,146.33,144.11,145.86,145.86
2021-08-02,146.36,146.95,145.25,145.52,145.52
2021-08-03,145.81,148.04,145.18,147.36,147.36
2021-08-04,147.27,147.79,146.28,146.95,146.95
