Date,Open,High,Low,Close,Adj Close
2020-11-11,87.42,88.14,87.15,87.36,87.36
2020-11-12,87.1,88.25,86.9,87.14,87.14
2020-11-13,87.4,88.86,86.8,88.61,88.61
2020-11-16,88.21,89.72,88.07,88.7,88.7
2020-11-17,88.39,88.86,87.97,88.08,88.08
2020-11-18,87.83,88.25,86.93,87.03,87.03
2020-11-19,86.66,88.17,86.5,87.93,87.93
2020-11-20,88.1,88.42,86.75,86.82,86.82
2020-11-23,87.01,87.3,85.51,86.38,86.38
2020-11-24,86.38,88.32,86.04,88.19,88.19
2020-11-25,88.39,88.52,87.42,88.21,88.21
2020-11-27,88.23,89.85,88.23,89.35,89.35
2020-11-30,88.78,89.02,87.39,87.72,87.72
2020-12-01,88.33,91.09,88.15,89.77,89.77
2020-12-02,89.77,91.64,89.26,91.25,91.25
2020-12-03,91.03,92.19,90.85,91.09,91.09
2020-12-04,91.01,91.47,90.68,91.19,91.19
2020-12-07,90.78,91.46,90.15,90.85,90.85
2020-12-08,90.43,90.8,89.56,90.57,90.57
2020-12-09,90.52,91.42,88.1,88.89,88.89
2020-12-10,88.13,88.75,86.68,88.38,88.38
2020-12-11,88.0,88.87,87.64,88.74,88.74
2020-12-14,88.54,89.49,87.46,87.61,87.61
2020-12-15,87.99,88.2,87.08,88.05,88.05
2020-12-16,88.46,88.46,87.45,87.86,87.86
2020-12-17,88.2,88.34,86.56,87.03,87.03
2020-12-18,87.31,87.42,85.75,86.31,86.31
2020-12-21,85.46,86.85,84.7,86.73,86.73
2020-12-22,86.47,86.63,85.29,86.01,86.01
2020-12-23,86.2,87.21,86.06,86.41,86.41
2020-12-24,86.45,87.12,86.22,86.71,86.71
2020-12-28,87.25,89.35,87.09,88.7,88.7
2020-12-29,89.36,89.42,87.76,87.89,87.89
2020-12-30,88.25,88.39,86.4,86.81,86.81
2020-12-31,86.86,87.88,86.8,87.63,87.63
2021-01-04,88.0,88.12,85.36,86.31,86.31
2021-01-05,86.25,87.34,85.85,87.0,87.0
2021-01-06,85.01,87.2,84.81,86.14,86.14
2021-01-07,86.34,88.89,86.34,88.72,88.72
2021-01-08,88.86,89.97,88.06,89.89,89.89
2021-01-11,88.85,89.22,87.61,87.81,87.81
2021-01-12,87.27,88.39,85.82,86.87,86.87
2021-01-13,86.37,87.82,86.37,87.36,87.36
