Date,Open,High,Low,Close,Adj Close
2020-11-11,112.82,113.04,111.01,111.95,111.95
2020-11-12,110.45,111.15,108.39,109.37,109.37
2020-11-13,110.03,112.11,109.85,111.61,111.61
2020-11-16,113.0,113.23,111.87,113.05,113.05
2020-11-17,112.33,113.23,111.82,112.42,112.42
2020-11-18,112.44,113.55,111.52,111.53,111.53
2020-11-19,111.31,112.18,110.69,111.93,111.93
2020-11-20,112.33,112.75,111.46,111.7,111.7
2020-11-23,112.16,115.11,112.01,114.71,114.71
2020-11-24,115.44,119.14,115.39,118.84,118.84
2020-11-25,117.42,118.76,116.64,118.63,118.63
2020-11-27,118.63,119.69,118.35,118.77,118.77
2020-11-30,118.54,119.4,117.57,117.98,117.98
2020-12-01,118.34,120.19,117.56,117.64,117.64
2020-12-02,117.34,119.05,116.92,119.03,119.03
2020-12-03,118.59,119.26,117.76,118.07,118.07
2020-12-04,118.41,121.67,118.1,121.5,121.5
2020-12-07,120.82,121.28,118.98,119.11,119.11
2020-12-08,119.7,120.67,119.05,120.07,120.07
2020-12-09,120.16,121.96,120.06,121.11,121.11
2020-12-10,120.68,121.24,119.34,119.36,119.36
2020-12-11,118.52,119.88,118.07,118.7,118.7
2020-12-14,119.7,120.58,117.93,117.99,117.99
2020-12-15,118.81,120.28,117.91,120.28,120.28
2020-12-16,120.28,120.9,119.67,119.92,119.92
2020-12-17,120.43,120.44,119.31,119.92,119.92
2020-12-18,119.96,120.73,119.37,120.21,120.21
2020-12-21,118.41,118.61,116.26,117.86,117.86
2020-12-22,117.78,118.65,116.92,118.07,118.07
2020-12-23,118.33,119.6,118.19,118.34,118.34
2020-12-24,119.4,119.49,118.64,119.1,119.1
2020-12-28,119.49,120.92,118.88,119.22,119.22
2020-12-29,119.73,119.85,117.71,118.25,118.25
2020-12-30,118.25,119.25,118.09,118.77,118.77
2020-12-31,118.65,120.38,118.43,120.24,120.24
2021-01-04,120.21,120.27,117.52,118.38,118.38
