Date,Open,High,Low,Close,Adj Close
2020-11-11,57.06,57.63,56.8,57.2,57.2
2020-11-12,57.26,57.49,56.1,56.45,56.45
2020-11-13,56.88,57.09,56.55,56.91,56.91
2020-11-16,57.02,57.61,56.88,57.15,57.15
2020-11-17,57.0,57.39,56.81,57.12,57.12
2020-11-18,57.12,57.29,56.24,56.25,56.25
2020-11-19,56.09,56.48,55.56,56.45,56.45
2020-11-20,56.36,56.44,55.68,55.7,55.7
2020-11-23,55.85,56.57,55.77,56.08,56.08
2020-11-24,56.6,57.9,56.36,57.57,57.57
2020-11-25,57.72,57.76,57.26,57.41,57.41
2020-11-27,57.4,57.87,57.15,57.76,57.76
2020-11-30,57.61,58.2,57.2,57.72,57.72
2020-12-01,58.2,59.28,58.01,58.74,58.74
2020-12-02,58.29,59.27,58.14,59.08,59.08
2020-12-03,59.22,59.98,59.06,59.27,59.27
2020-12-04,59.31,60.55,59.27,59.96,59.96
2020-12-07,59.96,60.2,59.63,59.8,59.8
2020-12-08,58.99,59.71,58.22,59.03,59.03
2020-12-09,58.89,59.91,58.8,59.73,59.73
2020-12-10,59.51,59.81,59.04,59.48,59.48
2020-12-11,60.94,61.0,59.42,60.61,60.61
2020-12-14,60.83,61.66,60.69,60.76,60.76
2020-12-15,61.09,62.19,60.9,61.86,61.86
2020-12-16,61.87,63.19,61.85,62.78,62.78
2020-12-17,62.99,64.05,62.73,63.61,63.61
2020-12-18,63.48,65.33,63.43,65.06,65.06
2020-12-21,63.89,65.19,63.88,64.48,64.48
2020-12-22,64.56,66.0,64.43,65.15,65.15
2020-12-23,65.26,66.2,65.15,65.3,65.3
2020-12-24,65.05,65.59,64.78,64.96,64.96
2020-12-28,65.41,65.69,64.75,64.87,64.87
2020-12-29,65.25,65.27,64.22,64.46,64.46
2020-12-30,64.8,64.91,64.34,64.4,64.4
2020-12-31,64.34,64.77,64.01,64.69,64.69
2021-01-04,64.69,64.7,63.17,63.75,63.75
2021-01-05,63.68,63.79,62.48,62.96,62.96
2021-01-06,62.27,63.35,61.91,62.57,62.57
2021-01-07,62.85,63.74,62.85,63.07,63.07
2021-01-08,63.18,63.54,62.91,63.38,63.38
2021-01-11,62.95,63.56,62.84,63.03,63.03
2021-01-12,63.0,63.02,62.18,62.42,62.42
2021-01-13,62.32,62.59,61.97,62.06,62.06
2021-01-14,62.07,62.17,61.51,61.6,61.6
2021-01-15,61.6,61.99,61.21,61.78,61.78
2021-01-19,62.1,62.29,61.1,61.29,61.29
2021-01-20,61.37,62.02,61.15,61.56,61.56
2021-01-21,61.65,61.85,60.92,61.21,61.21
2021-01-22,60.94,61.15,59.74,60.36,60.36
2021-01-25,60.38,60.95,59.77,60.9,60.9
2021-01-26,61.06,62.04,60.84,61.8,61.8
2021-01-27,61.4,63.18,61.37,62.55,62.55
2021-01-28,62.55,63.24,61.17,61.22,61.22
2021-01-29,61.16,61.5,60.2,60.43,60.43
2021-02-01,60.92,62.01,60.74,61.51,61.51
